Metric,XOM,HD,^SPX,BZ=F,ZC=F
Return,-5.908589151351988,27.712630256071368,-25.032505114406828,107.72957431036,69.43353755379805
Return (p.a.),-2.025559176554792,8.566184081310224,-9.226866508558595,42.90825771770863,19.355197578971016
Vol (p.a.),17.910792365083914,18.72773694562037,10.962992699258606,52.80006422971943,26.93656574760085
B&H Return,4.154240058556544,97.45803530398076,35.2395521461451,87.63556112819461,-8.157894736842106
Sharpe Ratio,0.0,0.45740625822456854,0.0,0.8126554075962085,0.7185473367441029
Max Drawdown,-37.556377951817495,-27.038827989753134,-33.08172589719728,-26.41109429767001,-30.84268225669372
Accuracy,44.171779141104295,35.294117647058826,42.857142857142854,56.52173913043478,56.043956043956044
Positions Taken,163,68,91,23,182
