Metric,XOM,HD,^SPX,BZ=F,ZC=F
Return,-31.81741743850708,67.00241577148444,32.1316875,90.51863243865967,-9.51825
Return (p.a.),-12.074615088836394,18.80503461055514,9.814160486144585,36.99781514207683,-3.3005669185171005
Vol (p.a.),24.4691910778904,26.840206104727837,13.100127880258801,50.68314646581553,21.899830099173002
B&H Return,4.154223348390909,97.45809421496138,35.2395521461451,87.63556112819461,-8.157894736842106
Sharpe Ratio,0.0,0.7006292923824708,0.7491652429541551,0.7299826021462755,0.0
Max Drawdown,-49.78192947006226,-24.839060592651364,-14.113105975165109,-26.415785144930915,-31.064724135654398
Accuracy,0.0,100.0,100.0,100.0,0.0
Transactions,1,1,1,1,1
