Metric,XOM,HD,^SPX,BZ=F,ZC=F
Return,3.8566709149653597,93.96936502296329,33.21386141049894,89.30940389787341,-9.813336475486297
Return (p.a.),1.2795953499241008,24.93333589928031,10.115537790851814,36.57246924379925,-3.4065030208725644
Vol (p.a.),18.52045113701243,21.695933819666497,13.40564320120742,50.52274371086584,21.906355345980728
B&H Return,4.154223348390909,97.45809421496138,35.2395521461451,87.63556112819461,-8.157894736842106
Sharpe Ratio,0.06909093846892732,1.1492169964437868,0.7545731032093057,0.7238812969679173,0.0
Max Drawdown,-25.095704003951468,-16.849470239876375,-14.103192307230273,-26.41387097973209,-31.108858759465484
Accuracy,100.0,100.0,100.0,100.0,0.0
Positions Taken,1,1,1,1,1
