Metric,XOM,HD,^SPX,BZ=F,ZC=F
Return,81.89817116936067,31.413439819794135,2.000556942706609,22.169440052216597,13.767412210560773
Return (p.a.),22.265047174960007,9.613227931210533,0.6677714574451654,10.27323081673095,4.423187286027375
Vol (p.a.),22.188206532642816,19.152686715445714,12.250308517797412,40.31504345761181,23.741640423736406
B&H Return,4.154240058556544,97.45803530398076,35.2395521461451,87.63556112819461,-8.157894736842106
Sharpe Ratio,1.0034631299381562,0.5019258171992095,0.054510582853894506,0.25482375648515593,0.1863050407252046
Max Drawdown,-10.83801677830063,-18.183080809344034,-17.47201027683318,-29.443045171885196,-35.20175352759918
Accuracy,55.06607929515418,50.27932960893855,50.98039215686274,53.06122448979592,54.59183673469388
Positions Taken,227,179,204,147,196
