Metric,XOM,HD,^SPX,BZ=F,ZC=F
Return,43.95678598022458,0.18539122772216798,1.0347763671875292,43.16902340134786,63.11431545251912
Return (p.a.),13.022783728891628,0.06225315157364353,0.34649721156863045,19.155016972755323,17.842587121846897
Vol (p.a.),10.437193446907546,3.117546155265296,3.0438657195746925,40.785580642035576,17.64138886806103
B&H Return,4.154223348390909,97.45809421496138,35.2395521461451,87.63556112819461,-8.157894736842106
Sharpe Ratio,1.2477285004955208,0.019968638305002392,0.11383459176282099,0.4696516923682887,1.0114048987463866
Max Drawdown,-7.854366129067136,-3.290843701938484,-5.172553006116298,-26.41387097973209,-15.160935679256859
Accuracy,69.64285714285714,50.0,71.42857142857143,57.99999999999999,64.1025641025641
Transactions,56,18,7,50,117
