date,open,high,low,close,volume,RSI,PPO,ADX,MOM,CCI,ROC,WILLR,SMA20,SMA50,SMA100,EMA20,EMA50,EMA100,PSAR,OBV,ADOSC,MFI,ATR,BBANDS_upper,BBANDS_middle,BBANDS_lower,STOCH_K,STOCK_D,MACD,MACD_S,MACD_H
2007-08-22,68.97000122070312,69.36000061035156,68.19000244140625,68.69999694824219,4232,27.992716297066345,,,-2.2900009155273438,-120.10041069882352,-3.225807838340655,-93.35042629975327,,,,,,,70.89342026171875,-7677.0,-973.1738722993882,16.306512247184486,1.8059899412756508,70.86828893128289,69.48999938964843,68.11170984801397,19.53121129850438,26.681125525948016,,,
2007-08-23,69.1500015258789,69.97000122070312,69.11000061035156,69.86000061035156,4087,34.20902606587549,,,-0.34999847412109375,-61.5141935332077,-0.49850231973368464,-73.83176348394856,,,,,,,70.51000213623047,-3590.0,-127.34964622330722,22.449833996913963,1.7677052506460285,70.90270011478857,69.50800018310547,68.11330025142236,29.60370295075452,25.792495518638905,,,
2007-08-24,69.55000305175781,70.80999755859375,69.5199966430664,70.62000274658203,2786,37.986345235365704,,,0.23000335693359375,9.294593262031018,0.3267557308253233,-39.30337117035389,71.67600021362304,,,71.67600021362304,,,68.18000030517578,-804.0,855.5823116218576,28.516939268327747,1.7335835124232652,71.03877148925415,69.54400024414062,68.0492289990271,56.300111023575106,35.145008424278,,,
2007-08-27,70.44000244140625,71.11000061035156,69.48999786376953,70.94999694824219,3128,39.607689325763815,,,0.7199935913085938,41.57099952952124,1.0251937304478487,-31.094553328942947,71.43650016784667,,,71.60685704549154,,,68.23260025024415,2324.0,1978.5821085978948,35.61789703933682,1.725470600577463,71.64742635496305,69.76399993896484,67.88057352296664,81.81549685722658,55.906436943852064,,,
2007-08-28,71.05000305175781,71.05000305175781,70.19999694824219,70.55000305175781,3421,38.30054204146326,,,0.04000091552734375,60.6321296601617,0.05673083862636208,-41.04465856533101,71.11150016784669,,,71.50620428418357,,,68.34769626464845,-1097.0,2066.0409757103125,43.172398571612824,1.662937422215903,71.73763139066146,70.13600006103516,68.53436873140886,89.37898974588198,75.83153254222788,,,
2007-08-29,70.80000305175781,72.26000213623047,70.7699966430664,72.12999725341797,4245,45.89611104078698,,,0.48999786376953125,159.21762962347162,0.6839724566501504,-3.1863927565663253,70.95050010681152,,,71.56561313839637,,,68.45818843847657,3148.0,3028.9820861055555,52.54094491712562,1.6662989695199568,72.30994315582855,70.8220001220703,69.33405708831206,90.4113256610583,87.20193742138895,,,
2007-08-30,72.0999984741211,72.45999908447266,71.37999725341797,71.9000015258789,3257,45.02714592326032,,,2.1300048828125,147.0561253128602,3.052895206100281,-13.08405883904825,70.75750007629395,,,71.59745965148994,,,68.6862972603418,-109.0,3109.1748850283575,59.24657388657173,1.6244206024867232,72.54811754082158,71.23000030517578,69.91188306952998,85.94657445032828,88.57896328575619,,,
2007-08-31,72.2300033569336,73.05999755859375,72.05000305175781,72.69000244140625,3257,48.62521101677131,,,2.25,166.17549893481186,3.1942077257473223,-7.581871422742174,70.65450019836426,,,71.70151134576768,,,68.98819340627227,3148.0,3136.370211879761,58.680159157460885,1.5912474189315888,73.21226572616045,71.64400024414063,70.0757347621208,88.88457472941013,88.41415828026557,,,
2007-09-04,73.26000213623047,74.05000305175781,72.80000305175781,73.91999816894531,4057,53.705736159007856,-1.251210313641296,,4.069999694824219,173.2143317034533,5.826771343927972,-2.2147329128286843,70.79200019836426,,,71.91279580511794,,,69.39537382150442,7205.0,3884.724923275926,66.25645290267317,1.5747297897473014,74.43047220876957,72.23800048828124,70.04552876779292,89.13470549208459,87.988618223941,,,
2007-09-05,74.12999725341797,74.37999725341797,73.76000213623047,74.33999633789062,3139,55.330167483283965,-0.7237907838093213,,5.649993896484375,161.3784422905433,8.22535113651206,-0.6451763744607123,70.9189998626709,,,72.1439577606201,,,69.95392932913482,10344.0,4707.608083588382,65.9925448237954,1.5065344559930298,74.93608299744997,72.99599914550781,71.05591529356565,95.0503956550168,91.02322529217052,,,
