date,open,high,low,close,volume,RSI,PPO,ADX,MOM,CCI,ROC,WILLR,SMA20,SMA50,SMA100,EMA20,EMA50,EMA100,PSAR,OBV,ADOSC,MFI,ATR,BBANDS_upper,BBANDS_middle,BBANDS_lower,STOCH_K,STOCK_D,MACD,MACD_S,MACD_H
2003-03-20,231.5,232.5,231.5,233.75,265,54.869881157696085,,,-6.0,-48.37640821736103,-2.502606882168923,-57.5,,,,,,,238.36929408,164.0,181.393907401698,71.01793930248337,1.3002459912536444,234.03868904229745,230.95,227.86131095770256,45.34722222222221,18.17254754754753,,,
2003-03-21,233.5,233.75,233.5,231.5,194,49.26293059752025,,,-8.25,-42.034805890227005,-3.441084462982269,-80.0,,,,,,,238.0145223168,-30.0,-747.0781730337903,73.17961925822978,1.2252284204498127,234.1995762407525,231.25,228.3004237592475,59.991830065359466,38.122902314078765,,,
2003-03-24,231.0,231.0,230.0,229.0,100,43.89562726049719,,,-8.25,-90.2953586497887,-3.477344573234986,-105.0,233.7,,,233.7,,,237.673941424128,-130.0,-1154.4460083906908,69.5227733454767,1.2448549618462548,234.39545141065912,231.1,227.80454858934087,47.181372549019606,50.84014161220042,,,
2003-03-25,229.0,229.5,229.0,228.25,287,42.40304299585438,,,-9.0,-96.369311647774,-3.7934668071654354,-107.14285714285715,233.5125,,,233.1809523809524,,,237.3469837671629,-417.0,-1581.419576637542,56.72604472821726,1.1916510360000938,234.74208066888275,230.8,226.85791933111727,6.501547987616095,37.89158353399838,,,
2003-03-26,228.25,229.5,228.25,228.0,146,41.89170383710582,,,-9.5,-91.88919391065612,-4.000000000000004,-102.2222222222222,233.325,,,232.6875283446712,,,236.84616474113312,-563.0,-1677.3615294078404,48.475745246254,1.1958188191429444,234.5113490000249,230.1,225.68865099997507,-10.69987803733934,14.32768083309878,,,
2003-03-27,228.25,229.0,228.25,228.75,240,44.07070427279906,,,-6.5,-84.45566778900081,-2.763018065887357,-95.45454545454544,233.25,,,232.3125256451787,,,236.15847156184248,-323.0,-1538.6685528677044,53.17176990329321,1.1818317606327342,231.6019992006412,229.1,226.5980007993588,-3.74800637958533,-2.648778809769533,,,
2003-03-28,228.75,229.5,228.75,227.75,461,41.81897595522026,,,-2.25,-77.28983688833118,-0.9782608695652172,-104.54545454545456,233.05,,,231.8779993932569,,,235.52579383689508,-784.0,-1879.8848909921,53.66299431310052,1.1509866348732534,229.2773618495577,228.35,227.42263815044225,-4.545454545454549,-6.331112987459748,,,
2003-03-31,227.75,228.5,227.75,236.5,887,60.7271959252505,,,6.75,-11.075949367087894,2.9379760609357986,-10.256410256410255,233.2,,,232.31818992723245,,,234.94373032994343,103.0,4454.500991077504,66.37223957162203,1.1223447323823066,236.5328137786417,229.85,223.1671862213583,163.6363636363636,51.78096757044123,,,
2003-04-01,236.25,238.0,236.25,239.5,463,64.93487459634463,-0.8645691586601336,,9.75,201.50278533488984,4.243743199129479,14.634146341463415,233.375,,,233.0021718389246,,,227.75,566.0,7040.749670917115,70.75382303475767,1.1671772514978562,241.94174781225445,232.1,222.25825218774557,198.8174427198817,119.30278393693024,,,
2003-04-02,239.25,239.5,238.5,240.25,454,65.91798130111825,-0.6245538900785194,,8.75,213.76136232884727,3.7796976241900593,6.382978723404256,233.55,,,233.69244118759843,,,227.75,1020.0,7819.82870622267,74.10281986148955,1.1552360192480096,245.1584871682997,234.55,223.94151283170032,240.3390416882892,200.93094934817813,,,
2003-04-03,239.75,239.75,238.75,238.75,280,62.16410770271629,-0.4181748382143308,12.970242149225658,5.0,153.09617918313614,2.1390374331550888,-8.333333333333334,233.5,,,234.1741134554462,,,228.22,740.0,7338.558429191064,74.13716400760187,1.1798620178731518,245.70095623418615,236.55,227.39904376581384,104.22793057717809,181.1281383284496,,,
2003-04-04,238.5,238.75,238.0,239.0,680,62.54692945563397,-0.294355225147522,13.832430774235318,7.5,112.20216606498296,3.239740820734349,-6.25,233.4625,,,234.63372169778464,,,228.9118,1420.0,6835.139519266828,61.10725298887638,1.1491575880250695,241.31793566240216,238.8,236.28206433759783,97.26654846335695,147.27784024294138,,,
2003-04-07,238.5,241.5,238.5,243.25,680,68.40033608791121,-0.1448502985829274,15.207754433079856,14.25,123.46441562006768,6.222707423580776,12.727272727272728,233.7625,,,235.45431963132896,,,229.562092,2100.0,6476.606978606898,69.76425089958846,1.2813606174518504,243.41496554346344,240.15,236.88503445653657,106.24999999999996,102.58149301351165,,,
2003-04-08,243.0,243.0,242.5,242.75,171,67.0722389876947,0.1030154182016658,16.768326309911878,14.5,119.31150293870708,6.352683461117192,-1.639344262295082,234.0375,,,236.14914633310715,,,230.51712464,1929.0,5741.152123009029,69.24433262052149,1.2434062876338612,244.54699879903623,240.8,237.05300120096376,107.36111111111109,103.62588652482265,,,
2003-04-09,242.25,242.5,241.75,242.0,425,65.03248457269264,0.4654998500586085,17.914445383181008,14.0,91.88773548635172,6.140350877192979,-6.557377049180328,234.2625,,,236.70637049185885,,,231.765412176,1504.0,4873.285549687866,61.62186901601836,1.2260201242314426,244.95263066836523,241.15,237.3473693316348,102.77777777777771,105.46296296296288,,,
