Date,Open,High,Low,Close,Volume,RSI,PPO,ADX,MOM,CCI,ROC,WILLR,SMA20,SMA50,SMA100,EMA20,EMA50,EMA100,PSAR,OBV,ADOSC,MFI,ATR,BBANDS_upper,BBANDS_middle,BBANDS_lower,STOCH_K,STOCK_D,MACD,MACD_S,MACD_H
2003-02-25,33.650001525878906,34.189998626708984,33.540000915527344,17.078842163085938,13866500,,,,,,,,,,,,,,,13866500.0,,,,,,,,,,,
2003-02-26,33.90999984741211,34.13999938964844,33.630001068115234,16.92877197265625,12328300,,,,,,,,,,,,,,33.540000915527344,1538200.0,,,,,,,,,,,
2003-02-27,33.939998626708984,34.29999923706055,33.810001373291016,16.998798370361328,12705200,,,,,,,,,,,,,,33.55200088500977,14243400.0,,,,,,,,,,,
2003-02-28,34.150001525878906,34.43000030517578,33.91999816894531,17.018817901611328,12936600,,,,,,,,,,,,,,33.5819208190918,27180000.0,,,,,,,,,,,
2003-03-03,34.38999938964844,34.72999954223633,34.20000076293945,17.238929748535156,12094000,,,,,,,,,,,,,,33.63280558825684,39274000.0,,,,17.26216694568018,17.05283203125,16.84349711681982,,,,,
2003-03-04,34.70000076293945,34.7400016784668,34.16999816894531,17.123863220214844,10453100,,,,,,,,,,,,,,33.7205811045752,28820900.0,,,,17.278612453049437,17.06183624267578,16.845060032302126,,,,,
2003-03-05,34.22999954223633,34.91999816894531,34.220001220703125,17.46904182434082,12192000,,,,,,,,,,,,,,33.822523161964355,41012900.0,,,,17.514531348091097,17.169890213012696,16.825249077934295,,,,,
2003-03-06,34.75,34.86000061035156,34.40999984741211,17.28894805908203,12140800,,,,,,,,,,,,,,33.95422016280207,28872100.0,,,,17.53325521091356,17.227920150756837,16.922585090600116,,,,,
2003-03-07,34.099998474121094,34.880001068115234,34.08000183105469,17.404016494750977,13199300,,,,,,,,,,,,,,34.07011352353926,42071400.0,,,,17.548512663234487,17.304959869384767,17.061407075535048,-1706.8375944291756,-1563.5400088872786,,,
2003-03-10,34.790000915527344,34.880001068115234,34.349998474121094,17.18389892578125,11639200,,,,,,,,,,,,,,34.08000183105469,30432200.0,-2056129241.503384,,,17.55293254745447,17.293953704833985,17.0349748622135,-1886.599868936103,-1711.4020885473822,,,
2003-03-11,34.75,34.939998626708984,34.54999923706055,17.293954849243164,13179300,,,,0.2151126861572265,,1.2595273385813457,,,,,,,,34.08000183105469,43611500.0,-2287262879.1712074,,,17.52620531895715,17.32797203063965,17.12973874232215,-1982.8559321955656,-1858.764465186948,,,
2003-03-12,34.56999969482422,34.56999969482422,33.22999954223633,17.038820266723633,18850500,,,,0.1100482940673828,,0.6500666099415575,,,,,,,,34.939998626708984,24761000.0,-2324826987.2644453,,,17.48819665162644,17.241927719116212,16.995658786605986,-1636.7252960660342,-1835.393699065901,,,
2003-03-13,34.380001068115234,34.63999938964844,33.91999816894531,17.253938674926758,13468400,,,,0.2551403045654297,,1.5009314129537763,,,,,,,,34.939998626708984,38229400.0,-2331522198.5372105,,,17.47741081615863,17.234925842285158,16.992440868411684,-1277.6664541544503,-1632.4158941386834,,,
2003-03-14,34.54999923706055,34.79999923706055,34.040000915527344,17.203901290893555,15109200,,,,0.1850833892822265,23.04381655029416,1.0875220027162014,-1037.19922992152,,,,,,,34.90579864501953,23120200.0,-2340110132.917159,,,17.36893810429575,17.19490280151367,17.02086749873159,-939.4417972067182,-1284.6111824757345,,,
2003-03-17,34.45000076293945,35.25,34.31999969482422,17.534082412719727,17120900,59.49889401046372,,,0.2951526641845703,125.22138460161682,1.7121287022452858,-877.0254243849746,,,,,,,33.22999954223633,40241100.0,-2332983645.086508,64.41858778484686,17.539675303867885,17.585259822002772,17.264939498901366,16.94461917579996,-882.8325732841328,-1033.3136082151009,,,
2003-03-18,34.97999954223633,35.25,34.619998931884766,17.634124755859375,12781400,61.24149493749454,,,0.5102615356445312,153.60380897892068,2.9798272100314493,-872.0728342627721,,,,,,,33.2703995513916,53022500.0,-2341341493.0495987,71.03204522224895,17.552264038397343,17.771670767260687,17.33297348022461,16.89427619318853,-828.765829523089,-883.6800666713134,,,
